Well	Well Position	Cycle	TAMRA
26	      B2	1	"3,577.99"
26	      B2	2	"3,661.84"
26	      B2	3	"3,666.86"
26	      B2	4	"3,473.80"
26	      B2	5	"3,288.05"
26	      B2	6	"3,276.54"
26	      B2	7	"2,922.34"
26	      B2	8	"2,963.44"
26	      B2	9	"2,841.36"
26	      B2	10	"2,645.93"
26	      B2	11	"2,788.91"
26	      B2	12	"2,370.07"
26	      B2	13	"2,851.49"
26	      B2	14	"2,863.37"
26	      B2	15	"2,587.70"
26	      B2	16	"2,575.63"
26	      B2	17	"2,802.22"
26	      B2	18	"2,422.69"
26	      B2	19	"2,486.50"
26	      B2	20	"2,423.96"
26	      B2	21	"2,563.80"
26	      B2	22	"2,148.75"
26	      B2	23	"2,646.89"
26	      B2	24	"2,188.79"
26	      B2	25	"2,575.92"
26	      B2	26	"2,319.22"
26	      B2	27	"2,485.53"
26	      B2	28	"2,415.04"
26	      B2	29	"2,636.16"
26	      B2	30	"2,374.66"
26	      B2	31	"2,557.25"
26	      B2	32	"2,379.85"
26	      B2	33	"2,647.87"
26	      B2	34	"2,606.49"
26	      B2	35	"2,596.68"
26	      B2	36	"2,643.20"
26	      B2	37	"2,932.45"
26	      B2	38	"2,800.19"
26	      B2	39	"3,077.66"
26	      B2	40	"2,939.31"
26	      B2	41	"3,187.02"
26	      B2	42	"3,277.19"
26	      B2	43	"3,452.72"
26	      B2	44	"3,566.55"
26	      B2	45	"4,083.48"
26	      B2	46	"5,121.39"
26	      B2	47	"6,498.85"
26	      B2	48	"9,159.70"
26	      B2	49	"11,678.07"
26	      B2	50	"14,523.36"
26	      B2	51	"17,441.62"
26	      B2	52	"19,256.27"
26	      B2	53	"20,576.37"
26	      B2	54	"20,942.30"
26	      B2	55	"20,950.02"
26	      B2	56	"21,033.00"
26	      B2	57	"20,756.66"
26	      B2	58	"20,979.89"
26	      B2	59	"21,372.04"
26	      B2	60	"21,554.90"
26	      B2	61	"22,616.53"
26	      B2	62	"23,783.40"
26	      B2	63	"24,928.55"
26	      B2	64	"26,687.95"
26	      B2	65	"26,481.25"
26	      B2	66	"26,062.83"
26	      B2	67	"25,302.01"
26	      B2	68	"24,918.22"
26	      B2	69	"24,031.10"
26	      B2	70	"23,530.54"
26	      B2	71	"22,894.37"
50	      C2	1	"3,916.73"
50	      C2	2	"3,725.61"
50	      C2	3	"3,219.75"
50	      C2	4	"2,991.61"
50	      C2	5	"2,826.75"
50	      C2	6	"2,831.71"
50	      C2	7	"2,673.02"
50	      C2	8	"2,587.65"
50	      C2	9	"2,549.89"
50	      C2	10	"2,365.45"
50	      C2	11	"2,637.84"
50	      C2	12	"2,291.91"
50	      C2	13	"2,210.51"
50	      C2	14	"2,257.25"
50	      C2	15	"2,112.47"
50	      C2	16	"2,097.69"
50	      C2	17	"2,324.18"
50	      C2	18	"2,154.52"
50	      C2	19	"2,228.61"
50	      C2	20	"2,078.47"
50	      C2	21	"2,064.41"
50	      C2	22	"2,075.18"
50	      C2	23	"1,962.12"
50	      C2	24	"1,988.81"
50	      C2	25	"1,863.10"
50	      C2	26	"2,045.60"
50	      C2	27	"2,161.26"
50	      C2	28	"2,076.75"
50	      C2	29	"1,992.60"
50	      C2	30	"2,125.94"
50	      C2	31	"2,274.14"
50	      C2	32	"2,174.53"
50	      C2	33	"2,381.34"
50	      C2	34	"2,164.75"
50	      C2	35	"2,276.43"
50	      C2	36	"2,492.02"
50	      C2	37	"2,576.90"
50	      C2	38	"2,367.64"
50	      C2	39	"2,480.96"
50	      C2	40	"2,966.68"
50	      C2	41	"3,008.82"
50	      C2	42	"2,893.13"
50	      C2	43	"2,983.96"
50	      C2	44	"3,445.36"
50	      C2	45	"3,696.31"
50	      C2	46	"4,266.50"
50	      C2	47	"5,799.81"
50	      C2	48	"7,984.63"
50	      C2	49	"10,326.92"
50	      C2	50	"12,431.04"
50	      C2	51	"15,022.29"
50	      C2	52	"16,597.22"
50	      C2	53	"17,643.04"
50	      C2	54	"18,175.28"
50	      C2	55	"18,331.37"
50	      C2	56	"18,245.63"
50	      C2	57	"18,648.45"
50	      C2	58	"18,613.73"
50	      C2	59	"19,147.47"
50	      C2	60	"19,743.49"
50	      C2	61	"21,133.11"
50	      C2	62	"22,043.51"
50	      C2	63	"22,648.41"
50	      C2	64	"24,632.74"
50	      C2	65	"24,590.31"
50	      C2	66	"24,186.50"
50	      C2	67	"23,623.05"
50	      C2	68	"23,020.99"
50	      C2	69	"22,360.62"
50	      C2	70	"21,589.15"
50	      C2	71	"21,116.80"
74	      D2	1	"4,974.56"
74	      D2	2	"4,595.55"
74	      D2	3	"4,618.12"
74	      D2	4	"4,377.68"
74	      D2	5	"4,262.08"
74	      D2	6	"4,345.67"
74	      D2	7	"4,191.24"
74	      D2	8	"4,017.92"
74	      D2	9	"4,056.77"
74	      D2	10	"3,992.01"
74	      D2	11	"4,049.16"
74	      D2	12	"3,793.30"
74	      D2	13	"3,748.87"
74	      D2	14	"3,667.46"
74	      D2	15	"3,550.02"
74	      D2	16	"3,558.50"
74	      D2	17	"3,385.42"
74	      D2	18	"3,431.57"
74	      D2	19	"3,376.58"
74	      D2	20	"3,343.14"
74	      D2	21	"3,342.58"
74	      D2	22	"3,388.48"
74	      D2	23	"3,183.61"
74	      D2	24	"3,367.26"
74	      D2	25	"3,107.60"
74	      D2	26	"3,263.88"
74	      D2	27	"3,246.10"
74	      D2	28	"3,320.16"
74	      D2	29	"3,094.29"
74	      D2	30	"3,049.50"
74	      D2	31	"3,181.83"
74	      D2	32	"3,194.60"
74	      D2	33	"3,296.40"
74	      D2	34	"3,145.93"
74	      D2	35	"3,192.41"
74	      D2	36	"3,332.46"
74	      D2	37	"3,590.45"
74	      D2	38	"3,659.16"
74	      D2	39	"3,684.74"
74	      D2	40	"3,643.95"
74	      D2	41	"3,772.74"
74	      D2	42	"3,743.20"
74	      D2	43	"3,675.05"
74	      D2	44	"4,069.88"
74	      D2	45	"4,218.82"
74	      D2	46	"4,484.06"
74	      D2	47	"5,649.48"
74	      D2	48	"6,911.12"
74	      D2	49	"8,644.53"
74	      D2	50	"9,871.30"
74	      D2	51	"11,622.79"
74	      D2	52	"12,676.81"
74	      D2	53	"13,286.45"
74	      D2	54	"13,622.15"
74	      D2	55	"13,524.29"
74	      D2	56	"13,712.39"
74	      D2	57	"13,411.47"
74	      D2	58	"13,389.60"
74	      D2	59	"13,494.59"
74	      D2	60	"13,756.13"
74	      D2	61	"14,529.12"
74	      D2	62	"14,878.39"
74	      D2	63	"15,401.65"
74	      D2	64	"16,951.70"
74	      D2	65	"16,635.04"
74	      D2	66	"16,035.12"
74	      D2	67	"15,911.67"
74	      D2	68	"15,444.68"
74	      D2	69	"14,878.03"
74	      D2	70	"14,551.99"
74	      D2	71	"14,229.54"
